Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
ACCO,5.68,-12.346,-0.8,Sell,12369352,536545296,6.733,0.877,7000,Producer Manufacturing
ACEL,10.58,-10.793,-1.28,Strong Buy,8492638,886435778,,-0.401,730,Consumer Services
ACER,2.46,-7.17,-0.19,Sell,2603179,29305242,,-2.078,17,Health Technology
ACET,11.27,-29.386,-4.69,Strong Sell,4227391,220777046,,-12.701,18,Health Technology
ACEV,9.75,,,,83566,,,,,Finance
ACGL,27.93,-11.446,-3.61,Sell,26806815,11338797960,10.672,2.781,4300,Finance
ACHC,27.56,-10.838,-3.35,Sell,8504594,2451823036,23.731,1.206,42800,Health Services
ACHV,8.93,9.302,0.76,Sell,5364833,20533151,,-18.804,14,Health Technology
ACI,13.62,-1.233,-0.17,,55732825,6524347740,7.411,1.897,,Retail Trade
ACIA,68.1,0.919,0.62,Buy,10594174,2877162848,49.312,1.437,429,Electronic Technology
ACIU,4.8,-38.144,-2.96,Sell,9534664,344923200,,-0.354,132,Health Technology
ACIW,24.73,-15.827,-4.65,Sell,21139253,2878299970,38.93,0.664,4018,Technology Services
ACLS,21.72,-8.083,-1.91,Buy,6286404,726864144,22.161,1.064,960,Electronic Technology
ACM,38.76,-1.898,-0.75,Buy,22368210,6216677640,,-2.734,86000,Industrial Services
ACMR,67.85,-23.601,-20.96,Buy,8196955,1226382372,96.546,0.825,361,Producer Manufacturing
ACN,230.65,-3.868,-9.28,Buy,32404687,1.46739E+11,31.001,7.777,492000,Technology Services
ACNB,19.35,-7.945,-1.67,Sell,338527,168264504,9.511,2.134,374,Finance
ACND,9.89,,,,622206,,,,,Finance
ACOR,0.49,-11.918,-0.07,Sell,19997262,23504418,,-4.668,344,Health Technology
ACRS,2.36,-4.065,-0.1,Sell,3980896,100825808,,-2.436,77,Health Technology
ACRX,1.53,22.4,0.28,Sell,36489475,138196026,,-0.622,99,Health Technology
ACST,0.2093,-14.467,-0.04,Sell,185108570,20279600,,-0.684,,Health Technology
ACTG,3.48,-8.3,-0.32,Buy,2716284,171492660,,-0.304,17,Commercial Services
ACU,22.01,-0.136,-0.03,Buy,164942,73434384,12.274,1.944,441,Distribution Services
ACY,1.9,-19.492,-0.46,Sell,82228,2937362,,-25.208,10,Finance
ADBE,470.39,-8.376,-43,Buy,71026442,2.2563E+11,61.32,8.017,22634,Technology Services
ADCT,34.16,-22.662,-10.01,,2443060,2415655144,,-13176.996,127,Health Technology
ADES,4.01,3.618,0.14,Sell,2808934,74421189,,-0.707,133,Producer Manufacturing
ADI,112.5,-3.747,-4.38,Buy,55540601,41575500000,38.392,3.015,16400,Electronic Technology
ADIL,1.29,-6.522,-0.09,Strong Sell,5104505,17493690,,-0.743,4,Health Technology
ADM,45.16,0.894,0.4,Buy,66234027,25093018520,14.94,3.16,38100,Process Industries
ADMA,2.12,-16.863,-0.43,Sell,51666454,183062000,,-0.865,314,Health Technology
ADMP,0.74,12.121,0.08,Sell,53322103,67376852,,-0.523,171,Health Technology
ADMS,4.75,-8.301,-0.43,Sell,4328946,134338550,,-2.789,136,Health Technology
ADNT,16.65,-3.979,-0.69,Sell,13342682,1563175260,,-5.489,83000,Producer Manufacturing
ADP,128.72,-7.456,-10.37,Sell,35078368,55345094800,23.325,5.724,58000,Technology Services
ADPT,48.21,15.862,6.6,Buy,19307005,6546628740,,-0.79,453,Commercial Services
ADRO,2.33,-24.839,-0.77,Sell,6503867,189121673,,-0.801,96,Health Technology
ADS,41.97,-6.961,-3.14,Sell,16414254,2002598550,,-9.506,8500,Technology Services
ADSK,221.87,-9.699,-23.83,Buy,27181509,48651431730,140.369,1.654,10100,Technology Services
ADSW,30.19,0.199,0.06,Sell,16207918,2739990058,18887.5,0.003,6200,Industrial Services
ADT,8.18,-23.192,-2.47,Buy,94351045,6302150120,,-0.878,17500,Commercial Services
ADTN,9.88,-10.911,-1.21,Sell,4496294,473824052,,-1.421,1790,Electronic Technology
ADTX,1.92,-40.187,-1.29,,17864749,18198509,,,2,Health Technology
ADUS,91.58,-2.221,-2.08,Buy,2024143,1446909052,48.662,2.002,33238,Health Services
ADVM,11.27,-7.623,-0.93,Sell,22471836,909001009,,-1.215,114,Health Technology
ADXS,0.3851,-22.343,-0.11,Sell,15244867,25504210,,-0.554,35,Health Technology
AE,20.13,-5.36,-1.14,Sell,88235,85397096,,-1.094,664,Distribution Services
AEE,75.61,-4.424,-3.5,Buy,19021292,18681718800,22.537,3.439,9323,Utilities
AEG,2.32,-15.328,-0.42,Sell,32894758,4729452240,5.338,0.444,23757,Finance
AEGN,13.71,-15.292,-2.48,Sell,2047048,421875894,,-0.206,4900,Industrial Services
AEHR,1.44,-19.101,-0.34,Sell,2424935,33539184,,-0.122,71,Electronic Technology
AEIS,57.9,-21.883,-16.22,Sell,6116456,2219353320,35.151,1.699,10917,Electronic Technology
AEL,19.56,-18.193,-4.35,Sell,8687047,1798631976,7.689,2.639,608,Finance
AEM,74.71,-9.442,-7.79,Buy,23167723,18050085420,39.543,2.011,11101,Non-Energy Minerals
AEMD,1.305,-8.099,-0.12,Sell,3641192,15751872,,-1.915,8,Health Technology
AEO,14.14,12.133,1.53,Sell,137267236,2348851960,,-1.115,46000,Retail Trade
AEP,79.18,0.444,0.35,Sell,37305284,39285552900,20.822,3.848,17408,Utilities
AER,23.03,-22.117,-6.54,Sell,23381242,2986369190,2.849,8.481,390,Finance
AERI,11.63,5.727,0.63,Sell,11742043,540962472,,-4.418,380,Health Technology
AES,17.76,0.056,0.01,Buy,81015928,11812726560,64.316,0.286,,Utilities
AESE,1.36,-21.839,-0.38,Sell,13049793,43469680,,-2.37,146,Commercial Services
AEY,1.87,-16.143,-0.36,Sell,1683672,22045243,,-1.721,188,Distribution Services
AEYE,16.23,-14.803,-2.82,Buy,2975210,157627383,,-0.775,84,Technology Services
AEZS,0.3526,-24.658,-0.12,Sell,52863654,22100474,,-0.181,11,Health Technology
AFG,63.72,-4.682,-3.13,Sell,10222797,5641775172,25.711,2.613,6800,Finance
AFI,3.75,-3.101,-0.12,Sell,4975670,80977875,,-3.522,1600,Producer Manufacturing
AFIB,28.65,-18.33,-6.43,,5078841,797226360,,,219,Health Technology
AFL,35.62,-1.927,-0.7,Sell,76141162,25393925440,9.093,4.018,11729,Finance
AFMD,3.31,-4.058,-0.14,Buy,15945799,252387169,,-0.698,128,Health Technology
AFYA,24.96,-2.386,-0.61,Buy,3435613,2321397686,40.224,0.636,,Consumer Services
AG,9.74,-21.767,-2.71,Buy,110668653,2088528720,,-0.347,5015,Non-Energy Minerals
AGBA,10.31,-0.579,-0.06,Strong Buy,206256,61602250,152.741,0.068,,Finance
AGCO,70.59,-0.717,-0.51,Buy,8586535,5286943935,101.07,0.722,20961,Producer Manufacturing
AGE,0.88,-0.362,0,Sell,2504586,33164560,,-0.314,17,Health Technology
AGEN,4.29,-1.493,-0.07,Strong Buy,74906937,786970470,,-1.139,328,Health Technology
AGFS,2.52,1.613,0.04,Neutral,1643723,131578524,,-0.915,292,Process Industries
AGI,8.6,-17.782,-1.86,Buy,47129447,3366306600,68.394,0.138,2266,Non-Energy Minerals
AGIO,35.34,-13.826,-5.67,Sell,8989541,2442350934,,-5.305,536,Health Technology
AGLE,6.88,-5.43,-0.4,Sell,4730714,306846624,,-2.365,76,Health Technology
AGM,62.29,-8.599,-5.86,Sell,1003110,668548043,8.138,7.89,103,Finance
AGM.A,54.69,-8.85,-5.31,Sell,25914,586978527,7.205,7.89,103,Finance
AGMH,15.16,6.014,0.86,Sell,84222,437989076,,-0.066,48,Finance
AGO,19.2,-10.49,-2.25,Sell,13310121,1603868160,5.348,3.634,441,Finance
AGR,48.95,1.894,0.91,Buy,7953343,15125794750,21.845,2.265,6597,Utilities
AGRO,4.7,-7.115,-0.36,Sell,3946588,555488300,,-0.75,8237,Process Industries
AGRX,2.86,-10.625,-0.34,Buy,27765414,249671136,,-0.406,15,Health Technology
AGS,3.52,-12,-0.48,Sell,4896809,125375360,,-1.719,762,Producer Manufacturing
AGTC,4.88,-5.058,-0.26,Buy,7759022,126186552,,-2.174,83,Health Technology
AGX,42.52,0.449,0.19,Buy,1435979,666288400,,-0.589,1154,Industrial Services
AGYS,23.85,-5.991,-1.52,Buy,2170685,562609575,,-1.469,1275,Technology Services
AHC,1.37,-11.039,-0.17,Sell,485576,29331814,,-0.472,830,Consumer Services
AHCO,20,-5.794,-1.23,Buy,9449452,1126698000,,-0.023,2590,Finance
AHPI,5.72,-17.579,-1.22,Sell,3817679,22960080,,-0.735,181,Health Technology
AIG,26.43,-9.3,-2.71,Sell,132314614,22767700620,,-5.372,46000,Finance
AIHS,0.45,-2.386,-0.01,Sell,18653059,19511460,,-0.348,179,Finance
AIKI,0.553,-13.486,-0.09,,37760648,19310871,,-2.152,3,Health Technology
AIM,2.27,0.889,0.02,Sell,83242824,90096300,,-1.577,26,Health Technology
AIMC,37.53,-3.892,-1.52,Buy,5419999,2426539680,,-0.494,9200,Producer Manufacturing
AIMT,34.28,0.175,0.06,Buy,42514768,2243629428,,-4.489,275,Health Technology
AIN,49.76,-4.123,-2.14,Sell,4506656,1528562512,14.765,3.423,4600,Process Industries
AINC,6.73,-1.519,-0.1,Sell,270381,16895800,,-102.069,123,Finance
AIR,17.48,-13.38,-2.7,Sell,5341795,617105180,155.613,0.122,5400,Electronic Technology
AIRG,13.21,-0.677,-0.09,Buy,1103023,127529736,,-0.208,126,Electronic Technology
AIRI,1.09,-0.909,-0.01,Sell,368601,33376890,,-0.053,159,Electronic Technology
AIRT,9.9999,-11.662,-1.32,Sell,34885,28818412,,-1.046,478,Transportation
AIT,52.76,-12.373,-7.45,Sell,3561403,2044919564,90.419,0.624,6200,Distribution Services
AIZ,118.73,-2.328,-2.83,Buy,6412701,7082018913,19.525,6.396,14200,Finance
AJG,102.36,-2.792,-2.94,Buy,15828909,19601940000,27.743,3.845,33300,Finance
AJRD,40.74,-1.523,-0.63,Neutral,12066520,3203031762,28.076,1.637,4814,Electronic Technology
AKAM,110.08,-5.454,-6.35,Buy,27046456,17910566400,34.172,3.342,7724,Technology Services
AKBA,2.54,-75.6,-7.87,Sell,235779426,364025180,,-3.008,360,Health Technology
AKCA,18.14,-0.766,-0.14,Sell,15483413,1843296100,,-0.384,294,Health Technology
AKER,2.25,-10.714,-0.27,Sell,17451517,19629630,,-5.337,12,Health Technology
AKRO,31.95,-1.994,-0.65,Neutral,2960383,1108690560,,-2.09,13,Health Technology
AKTS,8.01,1.009,0.08,Buy,6276463,306445779,,-1.081,102,Electronic Technology
AKU,3,20,0.5,Buy,1204186,210535200,60.804,0.051,,Health Services
AKUS,23.65,5.486,1.23,,5522739,812864690,,,54,Health Technology
AL,28.09,-9.62,-2.99,Sell,15142492,3196052110,5.729,5.22,117,Finance
ALAC,10.67,-0.571,-0.06,Buy,12443,49255281,,,2,Finance
ALB,80.42,-11.636,-10.59,Buy,20897717,8553310360,23.122,4.13,6000,Process Industries
ALBO,35.16,26.384,7.34,Strong Buy,16233498,667713012,,-5.923,55,Health Technology
ALC,56.55,-1.378,-0.79,Strong Sell,24003157,27805635000,,-1.332,22142,Health Technology
ALCO,27.7,-14.295,-4.62,Sell,296125,207518428,9.619,3.073,235,Process Industries
ALDX,6.78,3.828,0.25,Buy,10600152,261932418,,-1.751,20,Health Technology
ALE,50.93,-5.615,-3.03,Strong Sell,6720184,2642284051,16.197,3.235,1339,Utilities
ALEC,11.22,-13.158,-1.7,Sell,15314070,889321884,,-2.032,121,Health Technology
ALG,101.05,-8.882,-9.85,Sell,738578,1198877410,21.926,4.721,4270,Producer Manufacturing
ALGN,308.32,3.818,11.34,Buy,12039788,24291515344,14.998,21.634,14530,Health Technology
ALGT,125.48,-2.426,-3.12,Sell,3362878,2038083804,,-1.519,4363,Transportation
ALIM,5.02,-15.059,-0.89,Sell,265509,25259335,,-1.329,127,Health Technology
ALJJ,0.78,-25.714,-0.27,Sell,1158349,32894784,,-1.873,5499,Commercial Services
ALK,36.86,-5.366,-2.09,Sell,38338394,4557370400,88.608,0.457,24134,Transportation
ALKS,16.83,1.753,0.29,Sell,24242077,2676710520,,-0.8,2235,Health Technology
ALL,89.62,-3.634,-3.38,Sell,32685362,27989759920,6.915,13.554,46290,Finance
ALLE,95.37,-7.757,-8.02,Sell,12432116,8796299358,32.092,3.082,11000,Producer Manufacturing
ALLK,78.51,-12.358,-11.07,Buy,2918413,3840214587,,-2.352,90,Health Technology
ALLO,35.22,-1.206,-0.43,Buy,10534489,4905864240,,-2.107,206,Health Technology
ALLT,8.76,-16.73,-1.76,Neutral,4550083,308461500,,-0.262,594,Electronic Technology
ALLY,23.4,2.273,0.52,Sell,95591076,8747785800,13.833,1.763,8700,Finance
ALNA,1.21,-10.37,-0.14,Strong Sell,12990366,46123869,,-1.616,83,Health Technology
ALNY,134.5,1.402,1.86,Buy,8816493,15597965000,,-7.566,1323,Health Technology
ALOT,7.57,10.511,0.72,Sell,486630,54264939,,-0.065,365,Electronic Technology
ALPN,7.81,-4.289,-0.35,Buy,1247102,185759288,,-1.779,53,Health Technology
ALRM,54.755,-8.544,-5.12,Buy,6927738,2681122379,49.453,1.162,1160,Technology Services
ALRN,1.23,-3.906,-0.05,Buy,6221742,48291768,,-0.922,13,Health Technology
ALRS,17.94,-12.87,-2.65,Neutral,974928,307166886,10.223,1.915,789,Finance
ALSK,2.06,-8.036,-0.18,Buy,2989093,110556286,12.087,0.178,581,Communications
ALSN,33.38,-6.942,-2.49,Sell,23030087,3778682760,9.158,3.544,3700,Producer Manufacturing
ALT,12.53,-25.726,-4.34,Buy,26570700,412384854,,-2.203,25,Commercial Services
ALTA,19.14,-7.177,-1.48,Sell,703552,359719074,8.463,2.332,490,Finance
ALTG,7.35,-11.976,-1,Sell,1508362,280623735,,-1.078,2,Distribution Services
ALTM,11.25,-14.514,-1.91,Sell,453708,42147675,,-101.051,,Industrial Services
ALTR,40.11,-4.545,-1.91,Buy,4055870,2932615857,,-0.3,2950,Technology Services
ALUS,10.05,2.03,0.2,,1406625,65010938,336.12,0.03,,Finance
ALV,70.13,-10.48,-8.21,Sell,7530992,6124579134,44.402,1.619,59000,Producer Manufacturing
ALVR,24.95,-22.97,-7.44,,7354058,1530646697,,,,Health Technology
ALXN,112.43,-1.567,-1.79,Buy,42113488,24641620390,30.605,3.786,3082,Health Technology
ALXO,39.29,-2.844,-1.15,,3747845,1452445217,,,,Commercial Services
ALYA,2.0756,1.745,0.04,Sell,173062,105673570,,-0.547,2146,Technology Services
AM,5.2,-23.191,-1.57,Sell,95703618,2478304400,,-1.49,547,Industrial Services
AMAG,8.875,-14.334,-1.49,Sell,7550282,306006450,,-7.726,440,Health Technology
AMAL,10.62,-9.771,-1.15,Sell,1192066,329745690,7.604,1.433,398,Finance
AMAT,57.25,-7.062,-4.35,Buy,169515312,52285451750,16.818,3.475,22000,Producer Manufacturing
AMBA,48.99,-7.04,-3.71,Sell,14683484,1695754557,,-1.397,761,Electronic Technology
AMBC,12.11,-4.117,-0.52,Sell,6015707,554748201,,-7.802,104,Finance
AMC,4.78,-18.707,-1.1,Sell,125825885,522546656,,-26.914,38872,Consumer Services
AMCI,10.5,2.24,0.23,Buy,2458163,289432700,277.128,0.038,4,Finance
AMCR,10.58,-4.34,-0.48,Buy,142863642,16594518400,28.855,0.384,47000,Process Industries
AMCX,23.8,-2.017,-0.49,Sell,28093374,1238582940,7.161,3.464,2114,Consumer Services
AMD,74.73,-17.716,-16.09,Buy,901725130,87737503800,152.114,0.531,11400,Electronic Technology
AME,95.32,-5.343,-5.38,Buy,14339305,21888331600,25.202,3.885,18100,Producer Manufacturing
AMED,224.06,-7.375,-17.84,Buy,3145887,7274488802,60.414,3.97,21300,Health Services
AMEH,16.33,-13.552,-2.56,Sell,3160084,588500540,29.167,0.606,555,Health Services
AMG,63.38,-7.677,-5.27,Sell,7864675,2950535478,25.967,2.497,4000,Finance
AMGN,242.59,-4.236,-10.73,Buy,43938827,1.42084E+11,20.229,12.317,23400,Health Technology
AMHC,9.91,-0.402,-0.04,,866375,,,,,Finance
AMK,21.61,-10.518,-2.54,Sell,1697121,1565536450,,-0.189,729,Finance
AMKR,10.91,-10.537,-1.29,Buy,18969079,2633346700,10.002,1.133,29650,Electronic Technology
AMN,53.03,-1.504,-0.81,Sell,6408738,2491752428,30.278,1.837,3236,Commercial Services
AMNB,19.63,-12.91,-2.91,Sell,302279,215229209,7.545,2.727,355,Finance
AMOT,38.3,-10.073,-4.29,Buy,337604,373207073,24.806,1.592,1700,Electronic Technology
AMP,145.35,-7.302,-11.45,Buy,11732535,17481099150,7.771,19.477,12500,Finance
AMPE,0.8453,18.059,0.13,Buy,112222487,149230953,,-0.106,23,Health Technology
AMPH,18.18,-10.795,-2.2,Sell,3738727,863286390,225.976,0.087,2027,Health Technology
AMPY,0.7501,-38.516,-0.47,Strong Sell,11341961,28220037,,-11.435,230,Energy Minerals
AMRB,9.25,-6.187,-0.61,Sell,85523,54926593,8.705,1.065,102,Finance
AMRC,30.13,-11.746,-4.01,Buy,4500090,1438005471,34.719,0.885,1127,Industrial Services
AMRH,1.1,-13.393,-0.17,Sell,2098252,6310700,,-2.15,397,Technology Services
AMRK,30.37,26.965,6.45,Buy,1306944,213655683,7.165,4.339,220,Finance
AMRS,2.53,-22.866,-0.75,Sell,65726713,517969430,,-2.335,561,Process Industries
AMRX,4.01,-2.433,-0.1,Sell,16533763,591631390,,-1.553,5500,Health Technology
AMS,1.71,-18.571,-0.39,Sell,1336491,9731610,,-0.042,9,Health Services
AMSC,11.7,-6.847,-0.86,Buy,2629376,269509500,,-0.793,242,Producer Manufacturing
AMSF,56.5,-15.33,-10.23,Sell,1877721,1092207150,12.034,4.679,434,Finance
AMSWA,13.72,-3.107,-0.44,Sell,4145057,445630910,59.058,0.242,428,Technology Services
AMTB,9.88,-24.867,-3.27,Sell,666670,416533884,34.144,0.312,829,Finance
AMTBB,8.61,-6.919,-0.64,Sell,101587,362991573,26.618,0.312,829,Finance
AMTD,37.64,-1.928,-0.74,Sell,59989238,20360906320,10.603,3.584,9226,Finance
AMTI,29.85,16.511,4.23,,6924363,1040290410,,,,Health Technology
AMTX,2.77,66.867,1.11,Buy,57565990,57604643,,-1.112,160,Process Industries
AMWD,75.08,-14.194,-12.42,Sell,2329006,1275856964,20.311,3.809,9900,Producer Manufacturing
AMWL,28.5,,,,50707051,6424803935,,,686,Technology Services
AMZN,2999.86,-13.072,-451.1,Buy,93146032,1.5026E+12,120.272,26.476,798000,Retail Trade
AN,53.03,-6.736,-3.83,Buy,9452713,4625016753,15.258,3.474,25000,Retail Trade
ANAB,14.81,-14.541,-2.52,Strong Sell,4388886,404366316,,-2.986,89,Health Technology
ANAT,67.5,-10.012,-7.51,Sell,722534,1814872500,7.271,9.426,,Finance
ANDA,10.19,-0.731,-0.08,Sell,679348,97741461,,,3,Finance
ANDE,17.96,1.297,0.23,Sell,5023099,592680000,,-0.153,2320,Process Industries
ANET,198.48,-11.175,-24.97,Sell,12320503,15089561088,21.291,9.871,2300,Electronic Technology
ANF,14.58,12.068,1.57,Sell,40768761,909401256,,-2.392,44000,Retail Trade
ANGI,10.05,-27.568,-3.83,Sell,55014492,4983852757,251.077,0.043,5000,Technology Services
ANGO,10.15,8.382,0.79,Sell,3570083,384416025,,-4.355,800,Health Technology
ANIK,32.56,-15.053,-5.77,Strong Sell,2236374,462592944,42.931,0.803,154,Health Technology
ANIP,28.13,-10.3,-3.23,Sell,1274078,346422750,,-1.69,338,Health Technology
ANIX,2.38,20.202,0.4,Strong Sell,3633855,56618772,,-0.463,8,Health Technology
ANNX,23,-6.769,-1.67,,5800344,877406300,,-1.219,24,Health Technology
ANSS,302.55,-10.755,-36.46,Buy,7301576,25955522460,68.753,4.675,4100,Technology Services
ANTM,245.73,-12.713,-35.79,Sell,21766588,61802569380,10.748,23.384,70600,Health Services
ANVS,4.665,-1.789,-0.09,,442314,32032736,,-0.499,2,Health Technology
ANY,2.6,-3.346,-0.09,Sell,4077848,18091658,,-0.851,,Technology Services
AON,200.41,0.21,0.42,Buy,23775847,46424976500,26.654,7.551,50000,Finance
AOS,51.8,5.779,2.83,Buy,17306748,8361200289,28.952,1.834,15100,Producer Manufacturing
AOSL,11.7,-13.653,-1.85,Buy,1843719,296970570,,-0.265,3978,Electronic Technology
AOUT,12.77,-16.152,-2.46,,5015890,178462027,,,262,Consumer Durables
AP,3.15,-8.96,-0.31,Sell,1154925,40322520,14.286,0.223,1673,Non-Energy Minerals
APA,11.1,-25,-3.7,Sell,150608807,4189794900,,-21.218,3163,Energy Minerals
APAM,37.28,-3.694,-1.43,Buy,8311615,2287299488,14.156,2.73,440,Finance
APD,285.43,-2.337,-6.83,Buy,15337783,63049774420,34.014,8.676,17700,Process Industries
APDN,7.77,6.003,0.44,Sell,3015252,39959401,,-3.901,51,Commercial Services
APEI,28.02,-10.878,-3.42,Neutral,1302336,414611940,31.74,0.883,1780,Consumer Services
APEN,1.39,-1.418,-0.02,Sell,505455,29462996,,-1.529,217,Health Technology
APEX,4.9001,-40.82,-3.38,Sell,1889730,2758305,,-20.097,37,Consumer Non-Durables
APG,14.35,1.485,0.21,Buy,12685387,2486768900,,,14700,Finance
APH,103.29,-5.929,-6.51,Buy,24884130,30819360330,29.166,3.7,74000,Electronic Technology
APHA,4.44,-8.83,-0.43,Sell,48254489,1279519200,,-0.237,1200,Process Industries
APLS,30.22,-1.979,-0.61,Buy,9269482,2284752880,,-6.727,235,Health Technology
APLT,20.46,-15.104,-3.64,Sell,2221387,459028284,,-3.444,11,Health Technology
APM,1.44,-29.064,-0.59,Sell,6317909,43759791,,-0.538,37,Health Technology
APO,43.93,-6.273,-2.94,Buy,19439281,17747316195,,-0.301,1421,Finance
APOG,21.15,1.051,0.22,Sell,5805555,557444205,11.284,1.813,7200,Producer Manufacturing
APPF,140.01,-16.676,-28.02,Buy,2632065,4767522513,165.502,0.896,1240,Technology Services
APPN,56.2,-8.23,-5.04,Buy,10816344,3929213783,,-0.696,1018,Technology Services
APPS,32.67,35.056,8.48,Buy,97772622,2861359479,116.474,0.295,207,Technology Services
APRE,21.89,-19.225,-5.21,Neutral,1710614,463779052,,-2.145,,Health Technology
APRN,6.22,-7.303,-0.49,Sell,12806759,109103446,,-5.081,1612,Retail Trade
APT,13.96,-0.499,-0.07,Buy,20249186,189685688,17.134,0.932,115,Health Technology
APTO,5.79,3.393,0.19,Buy,17048899,506530623,,-0.606,33,Health Technology
APTV,83.95,-2.52,-2.17,Buy,30212231,22668598750,12.861,6.585,141000,Producer Manufacturing
APTX,3.24,-2.115,-0.07,Sell,3060076,152158500,,-1.458,43,Health Services
APVO,7.25,-7.526,-0.59,Sell,499643,23437873,,-11.593,80,Health Technology
APWC,1.0599,0.943,0.01,Sell,729519,14647500,,-0.118,1227,Electronic Technology
APXT,10.71,5.103,0.52,Strong Buy,5860589,477237600,308.832,0.035,2,Finance
APYX,4.38,-4.575,-0.21,Sell,936668,149867832,,-0.48,266,Health Technology
AQB,4.04,41.754,1.19,Strong Buy,23745380,174225808,,-0.522,64,Health Technology
AQMS,0.91,-8.164,-0.08,Sell,3882635,54849431,,-0.535,23,Non-Energy Minerals
AQN,13.95,0.868,0.12,Buy,11087025,8174044350,14.968,0.961,2469,Utilities
AQST,8.02,2.036,0.16,Buy,19551724,269630796,,-1.775,232,Health Technology
AQUA,19.49,-4.741,-0.97,Strong Buy,10473552,2284208510,28.485,0.725,4150,Industrial Services
AR,2.95,-8.385,-0.27,Sell,158104698,792219550,,-7.38,547,Energy Minerals
ARA,6.2,-8.012,-0.54,Sell,1068692,214567740,,-0.326,4977,Health Services
ARAV,5.11,-10.351,-0.59,Sell,2557256,82157558,,-1.926,17,Health Technology
ARAY,2.31,-0.858,-0.02,Sell,11098494,210668304,73.112,0.034,932,Health Technology
ARC,0.94,-11.321,-0.12,Sell,1964919,41212514,10.423,0.092,2300,Commercial Services
ARCB,29.97,-11.384,-3.85,Buy,3259855,762583653,27.199,1.118,13000,Transportation
ARCE,39.45,-12.798,-5.79,Sell,7150476,2266096684,,-0.27,1423,Technology Services
ARCH,46.75,24.104,9.08,Sell,5927255,708084850,60.364,1.291,3700,Energy Minerals
ARCO,4.08,-8.315,-0.37,Sell,26843466,838858771,,-0.409,80855,Consumer Services
ARCT,38.95,-19.258,-9.29,Buy,14039463,949920390,,-2.54,,Health Technology
ARD,13.79,-9.396,-1.43,Sell,860345,3259415432,,-0.537,16340,Process Industries
